 25 requests sent |   6375 bytes sent |    5542 echo time
 25 requests sent |   6375 bytes sent |    2029 echo time
 26 requests sent |   6630 bytes sent |   15355 echo time
 26 requests sent |   6630 bytes sent |   46427 echo time
 26 requests sent |   6630 bytes sent |   12384 echo time
 26 requests sent |   6630 bytes sent |   21092 echo time
 26 requests sent |   6630 bytes sent |   35842 echo time
 26 requests sent |   6630 bytes sent |   41952 echo time
 26 requests sent |   6630 bytes sent |   55565 echo time
 26 requests sent |   6630 bytes sent |   51737 echo time
 27 requests sent |   6885 bytes sent |   44074 echo time
 27 requests sent |   6885 bytes sent |   35007 echo time
 27 requests sent |   6885 bytes sent |    6399 echo time
 27 requests sent |   6885 bytes sent |   12660 echo time
 27 requests sent |   6885 bytes sent |   31018 echo time
 27 requests sent |   6885 bytes sent |     145 echo time
 27 requests sent |   6885 bytes sent |   68504 echo time
 27 requests sent |   6885 bytes sent |    6684 echo time
 28 requests sent |   7140 bytes sent |   26674 echo time
 28 requests sent |   7140 bytes sent |     174 echo time
 28 requests sent |   7140 bytes sent |    1345 echo time
 28 requests sent |   7140 bytes sent |   12236 echo time
 28 requests sent |   7140 bytes sent |   15068 echo time
 28 requests sent |   7140 bytes sent |   36009 echo time
 28 requests sent |   7140 bytes sent |   11723 echo time
 28 requests sent |   7140 bytes sent |   83468 echo time
 29 requests sent |   7395 bytes sent |   31437 echo time
 29 requests sent |   7395 bytes sent |   24862 echo time
 29 requests sent |   7395 bytes sent |   40035 echo time
 29 requests sent |   7395 bytes sent |   39760 echo time
 29 requests sent |   7395 bytes sent |    7387 echo time
 29 requests sent |   7395 bytes sent |    4452 echo time
 29 requests sent |   7395 bytes sent |   63284 echo time
 29 requests sent |   7395 bytes sent |   16300 echo time
 30 requests sent |   7650 bytes sent |   11302 echo time
 30 requests sent |   7650 bytes sent |     197 echo time
 30 requests sent |   7650 bytes sent |   23571 echo time
 30 requests sent |   7650 bytes sent |   63477 echo time
 30 requests sent |   7650 bytes sent |   32042 echo time
 30 requests sent |   7650 bytes sent |   25869 echo time
 30 requests sent |   7650 bytes sent |   74906 echo time
 30 requests sent |   7650 bytes sent |   27061 echo time
 31 requests sent |   7905 bytes sent |   26925 echo time
 31 requests sent |   7905 bytes sent |   27807 echo time
 31 requests sent |   7905 bytes sent |   38869 echo time
 31 requests sent |   7905 bytes sent |   15587 echo time
 31 requests sent |   7905 bytes sent |   11464 echo time
 31 requests sent |   7905 bytes sent |   67683 echo time
 31 requests sent |   7905 bytes sent |   27730 echo time
 31 requests sent |   7905 bytes sent |   27567 echo time
 32 requests sent |   8160 bytes sent |   12065 echo time
 32 requests sent |   8160 bytes sent |   35709 echo time
 32 requests sent |   8160 bytes sent |   35373 echo time
 32 requests sent |   8160 bytes sent |   13017 echo time
 32 requests sent |   8160 bytes sent |   31212 echo time
 32 requests sent |   8160 bytes sent |    7053 echo time
 32 requests sent |   8160 bytes sent |   15632 echo time
 32 requests sent |   8160 bytes sent |   35347 echo time
 33 requests sent |   8415 bytes sent |   72569 echo time
 33 requests sent |   8415 bytes sent |       1 echo time
 33 requests sent |   8415 bytes sent |       0 echo time
 33 requests sent |   8415 bytes sent |   28530 echo time
 33 requests sent |   8415 bytes sent |   55911 echo time
 33 requests sent |   8415 bytes sent |   44009 echo time
 33 requests sent |   8415 bytes sent |   54802 echo time
 33 requests sent |   8415 bytes sent |    3579 echo time
 34 requests sent |   8670 bytes sent |   11088 echo time
 34 requests sent |   8670 bytes sent |   12535 echo time
 34 requests sent |   8670 bytes sent |   42353 echo time
 34 requests sent |   8670 bytes sent |      27 echo time
 34 requests sent |   8670 bytes sent |   46633 echo time
 34 requests sent |   8670 bytes sent |       0 echo time
 34 requests sent |   8670 bytes sent |    7563 echo time
 34 requests sent |   8670 bytes sent |   39610 echo time
 35 requests sent |   8925 bytes sent |    4165 echo time
 35 requests sent |   8925 bytes sent |    2547 echo time
 35 requests sent |   8925 bytes sent |   10519 echo time
 35 requests sent |   8925 bytes sent |   27700 echo time
 35 requests sent |   8925 bytes sent |   36099 echo time
 35 requests sent |   8925 bytes sent |   57467 echo time
 35 requests sent |   8925 bytes sent |   27645 echo time
 35 requests sent |   8925 bytes sent |   11620 echo time
 36 requests sent |   9180 bytes sent |    7082 echo time
 36 requests sent |   9180 bytes sent |   46539 echo time
 36 requests sent |   9180 bytes sent |   16653 echo time
 36 requests sent |   9180 bytes sent |   35564 echo time
 36 requests sent |   9180 bytes sent |   67992 echo time
 36 requests sent |   9180 bytes sent |   44997 echo time
 36 requests sent |   9180 bytes sent |   31983 echo time
 36 requests sent |   9180 bytes sent |   31363 echo time
 37 requests sent |   9435 bytes sent |    8916 echo time
 37 requests sent |   9435 bytes sent |   19829 echo time
 37 requests sent |   9435 bytes sent |   27403 echo time
 37 requests sent |   9435 bytes sent |   19720 echo time
 37 requests sent |   9435 bytes sent |    4334 echo time
 37 requests sent |   9435 bytes sent |   42838 echo time
 37 requests sent |   9435 bytes sent |    7554 echo time
 37 requests sent |   9435 bytes sent |   13200 echo time
 38 requests sent |   9690 bytes sent |   27160 echo time
 38 requests sent |   9690 bytes sent |    3182 echo time
 38 requests sent |   9690 bytes sent |    3818 echo time
 38 requests sent |   9690 bytes sent |   36096 echo time
 38 requests sent |   9690 bytes sent |     875 echo time
 38 requests sent |   9690 bytes sent |   11372 echo time
 38 requests sent |   9690 bytes sent |   15304 echo time
 38 requests sent |   9690 bytes sent |   51627 echo time
 39 requests sent |   9945 bytes sent |   11853 echo time
 39 requests sent |   9945 bytes sent |   15305 echo time
 39 requests sent |   9945 bytes sent |   46984 echo time
 39 requests sent |   9945 bytes sent |   68808 echo time
 39 requests sent |   9945 bytes sent |   55441 echo time
 39 requests sent |   9945 bytes sent |   95852 echo time
 39 requests sent |   9945 bytes sent |   23401 echo time
 39 requests sent |   9945 bytes sent |   52309 echo time
 40 requests sent |  10200 bytes sent |   55236 echo time
 40 requests sent |  10200 bytes sent |   15202 echo time
 40 requests sent |  10200 bytes sent |   14892 echo time
 40 requests sent |  10200 bytes sent |   46105 echo time
 40 requests sent |  10200 bytes sent |   32367 echo time
 40 requests sent |  10200 bytes sent |   53682 echo time
 40 requests sent |  10200 bytes sent |   19358 echo time
 40 requests sent |  10200 bytes sent |   47776 echo time
 41 requests sent |  10455 bytes sent |   24027 echo time
 41 requests sent |  10455 bytes sent |   15097 echo time
 41 requests sent |  10455 bytes sent |     107 echo time
 41 requests sent |  10455 bytes sent |   19361 echo time
 41 requests sent |  10455 bytes sent |     227 echo time
 41 requests sent |  10455 bytes sent |   31351 echo time
 41 requests sent |  10455 bytes sent |   31420 echo time
 41 requests sent |  10455 bytes sent |   10897 echo time
 42 requests sent |  10710 bytes sent |       0 echo time
 42 requests sent |  10710 bytes sent |   39242 echo time
 42 requests sent |  10710 bytes sent |   56396 echo time
 42 requests sent |  10710 bytes sent |   13413 echo time
 42 requests sent |  10710 bytes sent |   55598 echo time
 42 requests sent |  10710 bytes sent |   19752 echo time
 42 requests sent |  10710 bytes sent |   47294 echo time
 42 requests sent |  10710 bytes sent |   56281 echo time
 43 requests sent |  10965 bytes sent |   31802 echo time
 43 requests sent |  10965 bytes sent |   20563 echo time
 43 requests sent |  10965 bytes sent |     181 echo time
 43 requests sent |  10965 bytes sent |   44597 echo time
 43 requests sent |  10965 bytes sent |    1616 echo time
 43 requests sent |  10965 bytes sent |   67282 echo time
 43 requests sent |  10965 bytes sent |   20493 echo time
 43 requests sent |  10965 bytes sent |     340 echo time
 44 requests sent |  11220 bytes sent |   31550 echo time
 44 requests sent |  11220 bytes sent |    7210 echo time
 44 requests sent |  11220 bytes sent |   42200 echo time
 44 requests sent |  11220 bytes sent |   19723 echo time
 44 requests sent |  11220 bytes sent |   23521 echo time
 44 requests sent |  11220 bytes sent |   69643 echo time
 44 requests sent |  11220 bytes sent |   47024 echo time
 44 requests sent |  11220 bytes sent |       0 echo time
 45 requests sent |  11475 bytes sent |   11124 echo time
 45 re
